district_Name,property_size,property_price
فيلا للبيع في شارع خليل بن شاهين ، حي طويق ، الرياض ، الرياض,200 م²,"1,000,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,375 م²,"2,250,000 ريال"
,,
فيلا للبيع في شارع عبداللطيف بن المبارك ، حي المهدية ، الرياض ، الرياض,200 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع الفضل بن الحباب ، حي العزيزية ، الرياض,250 م²,"930,000 ريال"
,,
فيلا للبيع في حي ، شارع نجم الدين الأيوبي ، حي ظهرة نمار ، الرياض ، الرياض,255 م²,"1,400,000 ريال"
,,
فيلا للبيع في شارع يوسف النحوي ، حي طويق ، الرياض ، الرياض,375 م²,"1,550,000 ريال"
,,
فيلا للبيع في شارع الظهرية ، حي اشبيلية ، الرياض ، الرياض,300 م²,"2,000,000 ريال"
,,
فيلا للبيع في شارع سالم بن عبدالله البصري ، حي طويق ، الرياض ، الرياض,390 م²,"1,150,000 ريال"
,,
فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,375 م²,"1,200,000 ريال"
,,
فيلا للبيع في حي ، شارع الامير سعود بن عبدالله بن جلوي ، حي القيروان ، الرياض ، الرياض,736 م²,"4,000,000 ريال"
,,
فيلا للبيع في شارع الشفا ، حي ظهرة لبن ، الرياض ، الرياض,252 م²,"1,550,000 ريال"
,,
فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
,,
"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,200 م²,"880,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,246 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع علوي العيدروس ، حي الرمال ، الرياض ، الرياض,417 م²,"1,750,000 ريال"
,,
فيلا للبيع في حي ظهرة نمار ، الرياض ، الرياض,316 م²,"1,500,000 ريال"
,,
فيلا للبيع في شارع ابن مخلوف ، حي عكاظ ، الرياض ، الرياض,375 م²,"1,160,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,300 م²,"1,450,000 ريال"
,,
فيلا للبيع في شارع جبل المعلق ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
,,
فيلا للبيع في حي ، شارع ابن يوسف الاملي ، حي منفوحة الجديدة ، الرياض ، الرياض,214 م²,"270,000 ريال"
,,
فيلا للبيع في شارع رقم 200 ، حي الملقا ، الرياض ، الرياض,700 م²,"7,300,000 ريال"
,,
فيلا للبيع في شارع سمرة بن جندب ، حي العزيزية ، الرياض ، الرياض,240 م²,"1,000,000 ريال"
,,
فيلا للبيع في شارع عبدالرازق القشعمي ، حي الحزم ، الرياض ، الرياض,250 م²,"150,000 ريال"
,,
فيلا للبيع في شارع رقم 256 ، حي الملقا ، الرياض ، الرياض,414 م²,"4,400,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,216 م²,"1,080,000 ريال"
,,
فيلا للبيع في شارع احمد بن المبارك الخزفي ، حي طويق ، الرياض ، الرياض,300 م²,"1,170,000 ريال"
,,
فيلا للبيع في حي ، شارع المضة ، حي العريجاء الغربية ، الرياض ، الرياض,575 م²,"1,350,000 ريال"
,,
فيلا للبيع في حي النرجس ، الرياض ، الرياض,500 م²,"5,400,000 ريال"
,,
فيلا للبيع في حي العريجاء الوسطى ، الرياض ، الرياض,200 م²,"1,000,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,353 م²,"1,700,000 ريال"
,,
فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,280 م²,"980,000 ريال"
,,
فيلا للبيع في شارع فاطمه البغداديه ، حي طيبة ، الرياض ، الرياض,276 م²,"850,000 ريال"
,,
"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في شارع علي بن رشيد ، حي المهدية ، الرياض ، الرياض,200 م²,"1,250,000 ريال"
,,
فيلا للبيع في شارع أحمد بن محمد المراكشي ، حي الرمال ، الرياض ، الرياض,312 م²,"1,550,000 ريال"
,,
فيلا للبيع في شارع حسين جمل الليل ، حي طويق ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
,,
فيلا للبيع في شارع النخل ، حي اشبيلية ، الرياض ، الرياض,625 م²,"3,000,000 ريال"
,,
فيلا للبيع في شارع معرة النعمان ، حي النهضة ، الرياض ، الرياض,476 م²,"1,600,000 ريال"
,,
فيلا للبيع في حي المهدية ، الرياض ، الرياض,375 م²,"2,500,000 ريال"
,,
فيلا للبيع في شارع ابي المنهال المهلي ، حي طويق ، الرياض ، الرياض,200 م²,"900,000 ريال"
,,
فيلا للبيع في حي ظهرة نمار ، الرياض ، الرياض,450 م²,"2,000,000 ريال"
,,
فيلا للبيع في طريق الملك سلمان ، حي العارض ، الرياض ، الرياض,270 م²,"2,700,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,338 م²,"1,600,000 ريال"
,,
فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,360 م²,"1,050,000 ريال"
,,
فيلا للبيع في شارع عبدالله بن عمرو ، حي الرمال ، الرياض ، الرياض,300 م²,"1,330,000 ريال"
,,
فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,390 م²,"1,700,000 ريال"
,,
فيلا للبيع في الرياض ، حي المهدية ، الرياض,200 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع واصل ، حي قرطبة ، الرياض ، الرياض,420 م²,"3,200,000 ريال"
,,
فيلا للبيع في شارع واصل ، حي قرطبة ، الرياض ، الرياض,360 م²,"3,300,000 ريال"
,,
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,375 م²,"2,900,000 ريال"
,,
فيلا للبيع في طريق السلطان قابوس بن سعيد ، حي القادسية ، الرياض ، الرياض,361 م²,"1,700,000 ريال"
,,
فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,250 م²,"840,000 ريال"
,,
فيلا للبيع في حي المونسية ، الرياض ، الرياض,240 م²,"1,700,000 ريال"
,,
فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في شارع خزام ، حي مطار الملك خالد الدولي ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
,,
فيلا للبيع في حي المونسية ، الرياض ، الرياض,270 م²,"1,600,000 ريال"
,,
فيلا للبيع في شارع عمر بن علي الجعدي ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
,,
فيلا للبيع في شارع ابراهيم بن احمد الشيوي ، حي ظهرة نمار ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع الزراعه ، حي طويق ، الرياض ، الرياض,375 م²,"1,500,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,250,000 ريال"
,,
فيلا للبيع في الرياض ، حي المهدية ، الرياض,200 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,375 م²,"1,600,000 ريال"
,,
فيلا للبيع في حي الملك عبدالله ، الرياض ، الرياض,600 م²,"4,300,000 ريال"
,,
فيلا للبيع في شارع فضل الله بن عبدالله الطبري ، حي الرمال ، الرياض ، الرياض,263 م²,"1,600,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,280,000 ريال"
,,
فيلا للبيع في شارع اوس الثقفي ، حي طويق ، الرياض ، الرياض,300 م²,"950,000 ريال"
,,
فيلا للبيع في شارع عثمان الداغستاني ، حي ديراب ، الرياض ، الرياض,250 م²,"1,030,000 ريال"
,,
فيلا للبيع في ميدان الدمشقية ، حي الرمال ، الرياض ، الرياض,375 م²,"1,780,000 ريال"
,,
فيلا للبيع في حي ، شارع عبدالحق الهاشمي ، حي المهدية ، الرياض ، الرياض,216 م²,"1,450,000 ريال"
,,
فيلا للبيع في شارع ابان بن سعيد ، حي بدر ، الرياض ، الرياض,300 م²,"900,000 ريال"
,,
فيلا للبيع في شارع قاسم الاندلسي ، حي القادسية ، الرياض ، الرياض,455 م²,"2,200,000 ريال"
,,
فيلا للبيع في شارع المنتزهات ، حي طويق ، الرياض ، الرياض,420 م²,"1,170,000 ريال"
,,
فيلا للبيع في حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
,,
فيلا للبيع في شارع تقي الدين الهلالي ، حي طويق ، الرياض ، الرياض,250 م²,"1,300,000 ريال"
,,
"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,330 م²,"880,000 ريال"
,,
فيلا للبيع في شارع محمد صالح امام ، حي ظهرة نمار ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع الجميحاء ، حي اليرموك ، الرياض ، الرياض,560 م²,"2,300,000 ريال"
,,
فيلا للبيع في شارع الدوحه ، حي طويق ، الرياض ، الرياض,200 م²,"960,000 ريال"
,,
فيلا للبيع في شارع فاطمة أم الحسن الطبري ، حي النرجس ، الرياض ، الرياض,312 م²,"2,700,000 ريال"
,,
فيلا للبيع في طريق الثمامة ، حي الرمال ، الرياض ، الرياض,345 م²,"1,700,000 ريال"
,,
فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,250 م²,"850,000 ريال"
,,
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,988 م²,"6,000,000 ريال"
,,
فيلا للبيع في شارع محمد الشرنبلالي ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
,,
فيلا للبيع في شارع ابي موسى الاشعري ، حي الاندلس ، الرياض ، الرياض,375 م²,"2,330,000 ريال"
,,
فيلا للبيع في حي الجنادرية ، الرياض ، الرياض,272 م²,"1,400,000 ريال"
,,
فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,300 م²,"1,180,000 ريال"
,,
فيلا للبيع في شارع الظهيران ، حي بدر ، الرياض ، الرياض,366 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع السرور ، حي طويق ، الرياض ، الرياض,200 م²,"970,000 ريال"
,,
فيلا للبيع في حي العارض ، الرياض ، الرياض,351 م²,"2,800,000 ريال"
,,
فيلا للبيع في شارع خالد بن عبدالله السلمي ، حي ظهرة نمار ، الرياض ، الرياض,300 م²,"1,230,000 ريال"
,,
فيلا للبيع في شارع ابهاء ، حي طويق ، الرياض ، الرياض,200 م²,"900,000 ريال"
,,
فيلا للبيع في حي العارض ، الرياض ، الرياض,338 م²,"2,550,000 ريال"
,,
فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,375 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع الحسين الهاشمي ، حي طويق ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
,,
فيلا للبيع في شارع حيده بن معاويه ، حي طويق ، الرياض ، الرياض,390 م²,"1,500,000 ريال"
,,
فيلا للبيع في شارع بلال بن رباح ، حي طويق ، الرياض ، الرياض,200 م²,"920,000 ريال"
,,
فيلا للبيع في شارع ابي عبدالله الصقلي ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,150,000 ريال"
,,
فيلا للبيع في شارع الحارث بن سليل ، حي العارض ، الرياض ، الرياض,420 م²,"2,600,000 ريال"
,,
فيلا للبيع في حي القيروان ، الرياض ، الرياض,190 م²,"2,100,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع الحجور ، حي النفل ، الرياض ، الرياض,360 م²,"2,400,000 ريال"
,,
فيلا للبيع في شارع علي بن رومى ، حي اليرموك ، الرياض ، الرياض,422 م²,"3,000,000 ريال"
,,
فيلا للبيع في شارع محب الله السليماني ، حي طويق ، الرياض ، الرياض,360 م²,"1,600,000 ريال"
,,
فيلا للبيع في شارع علي البيتي ، حي طويق ، الرياض ، الرياض,200 م²,"900,000 ريال"
,,
فيلا للبيع في حي الشرق ، الرياض ، رماح,448 م²,"1,370,000 ريال"
,,
فيلا للبيع في شارع علوي العيدروس ، حي الرمال ، الرياض ، الرياض,417 م²,"1,750,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,400,000 ريال"
,,
فيلا للبيع في شارع الريامة ، حي السعادة ، الرياض ، الرياض,252 م²,"1,600,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,315 م²,"1,330,000 ريال"
,,
فيلا للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي الرمال ، الرياض ، الرياض,285 م²,"1,550,000 ريال"
,,
فيلا للبيع في شارع الخليل بن أحمد ، حي بدر ، الرياض ، الرياض,360 م²,"1,100,000 ريال"
,,
