,district_Name,property_size,property_price
9075,فيلا للبيع في حي القادسية ، الرياض ، الرياض,438 م²,"2,200,000 ريال"
9077,فيلا للبيع في حي المونسية ، الرياض ، الرياض,576 م²,"4,000,000 ريال"
9079,فيلا للبيع في حي بدر ، الرياض ، الرياض,300 م²,"940,000 ريال"
9081,فيلا للبيع في حي ، طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,300 م²,"910,000 ريال"
9083,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,250 م²,"1,500,000 ريال"
9085,فيلا للبيع في حي بدر ، الرياض ، الرياض,315 م²,"980,000 ريال"
9087,فيلا للبيع في شارع عامر بن الزبير ، حي النرجس ، الرياض ، الرياض,312 م²,"2,600,000 ريال"
9089,فيلا للبيع في شارع عبدالرزاق الحنبلي ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
9091,فيلا للبيع في حي الندوة ، الرياض ، الرياض,245 م²,"1,100,000 ريال"
9093,فيلا للبيع في شارع ابن غنيمة ، حي شبرا ، الرياض ، الرياض,250 م²,"950,000 ريال"
9095,فيلا للبيع في شارع الصلت بن النعمان ، حي الشفا ، الرياض ، الرياض,750 م²,"1,250,000 ريال"
9097,فيلا للبيع في شارع محمد بن الصباح ، حي الرمال ، الرياض ، الرياض,234 م²,"1,250,000 ريال"
9099,فيلا للبيع في شارع محمد المعافري ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
9101,فيلا للبيع في حي ، شارع حسن سلطان العمروي ، حي القيروان ، الرياض ، الرياض,750 م²,"7,000,000 ريال"
9103,فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,312 م²,"1,370,000 ريال"
9105,فيلا للبيع في حي النرجس ، الرياض ، الرياض,333 م²,"3,500,000 ريال"
9107,فيلا للبيع في شارع يحيى المعلمي ، حي الرمال ، الرياض ، الرياض,340 م²,"1,500,000 ريال"
9109,فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
9111,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
9113,فيلا للبيع في شارع عمر بن يوسف المقرئ ، حي المروج ، الرياض ، الرياض,815 م²,"4,000,000 ريال"
9115,فيلا للبيع في شارع رقم 210 ، حي النرجس ، الرياض ، الرياض,312 م²,"3,000,000 ريال"
9117,فيلا للبيع في شارع عبداللطيف بن المبارك ، حي المهدية ، الرياض ، الرياض,463 م²,"2,300,000 ريال"
9119,فيلا للبيع في شارع نجم الدين الأيوبي ، حي طويق ، الرياض ، الرياض,375 م²,"1,300,000 ريال"
9121,فيلا للبيع في شارع اسماء بنت ابي بكر ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
9123,فيلا للبيع في حي ، شارع علي الفزاري ، حي المونسية ، الرياض ، الرياض,375 م²,"1,980,000 ريال"
9125,فيلا للبيع في طريق الامام مالك ، حي بدر ، الرياض ، الرياض,300 م²,"1,000,150 ريال"
9127,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,390 م²,"1,650,000 ريال"
9129,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
9131,فيلا للبيع في شارع جعفر بن محمد ، حي العقيق ، الرياض ، الرياض,412 م²,"4,500,000 ريال"
9133,فيلا للبيع في شارع بن عمرو ، حي طويق ، الرياض ، الرياض,300 م²,"1,170,000 ريال"
9135,فيلا للبيع في شارع محسن بن علي المساوي ، حي النظيم ، الرياض ، الرياض,375 م²,"1,000,000 ريال"
9137,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,250 م²,"1,700,000 ريال"
9139,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,250,000 ريال"
9141,فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,375 م²,"1,500,000 ريال"
9143,فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,315 م²,"1,150,000 ريال"
9145,فيلا للبيع في طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,250 م²,"900,000 ريال"
9147,فيلا للبيع في حي الرمال ، الرياض ، الرياض,310 م²,"1,400,000 ريال"
9149,فيلا للبيع في شارع باب الشام ، حي السويدي ، الرياض ، الرياض,260 م²,"1,000,000 ريال"
9151,فيلا للبيع في شارع حرمة ، حي النهضة ، الرياض ، الرياض,450 م²,"2,800,000 ريال"
9153,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
9155,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
9157,فيلا للبيع في شارع لقاح ، حي عكاظ ، الرياض ، الرياض,350 م²,"1,100,000 ريال"
9159,فيلا للبيع في حي ، شارع ابي منصور البزاز ، حي شبرا ، الرياض ، الرياض,615 م²,"1,200,000 ريال"
9161,فيلا للبيع في شارع محمد بن كثير ، حي الرمال ، الرياض ، الرياض,281 م²,"1,300,000 ريال"
9163,فيلا للبيع في حي ، شارع عمر بن وهب ، حي المهدية ، الرياض ، الرياض,659 م²,"2,000,000 ريال"
9165,فيلا للبيع في شارع الرس ، حي ديراب ، الرياض ، الرياض,420 م²,"1,450,000 ريال"
9167,فيلا للبيع في شارع حمزة بن عبد المطلب ، حي العريجاء الغربية ، الرياض ، الرياض,200 م²,"1,000,000 ريال"
9169,فيلا للبيع في شارع عمر مفتي ، حي طويق ، الرياض ، الرياض,355 م²,"1,600,000 ريال"
9171,فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,500,000 ريال"
9173,فيلا للبيع في حي ، شارع يوسف الجد ، حي المهدية ، الرياض ، الرياض,300 م²,"1,700,000 ريال"
9175,فيلا للبيع في طريق الأمير تركي بن عبدالعزيز الأول ، حي حطين ، الرياض ، الرياض,287 م²,"3,850,000 ريال"
9177,فيلا للبيع في شارع خلفة بن مسلمة ، حي الملز ، الرياض ، الرياض,618 م²,"1,100,000 ريال"
9179,فيلا للبيع في شارع محمد بن عيسى المذجحي ، حي الرمال ، الرياض ، الرياض,345 م²,"1,450,000 ريال"
9181,فيلا للبيع في شارع القوارشة ، حي الحزم ، الرياض ، الرياض,300 م²,"1,050,000 ريال"
9183,فيلا للبيع في حي المونسية ، الرياض ، الرياض,240 م²,"1,600,000 ريال"
9185,فيلا للبيع في شارع القطرون ، حي العزيزية ، الرياض ، الرياض,250 م²,"580,000 ريال"
9187,فيلا للبيع في طريق الدمام الفرعي ، حي اليرموك ، الرياض ، الرياض,200 م²,"1,620,000 ريال"
9189,فيلا للبيع في شارع الحارث ، حي الواحة ، الرياض ، الرياض,460 م²,"4,500,000 ريال"
9191,فيلا للبيع في طريق الثمامة ، حي الرمال ، الرياض ، الرياض,313 م²,"1,870,000 ريال"
9193,فيلا للبيع في حي عكاظ ، الرياض ، الرياض,312 م²,"1,050,000 ريال"
9195,فيلا للبيع في شارع بشري الجبرتي الشافعي ، حي ظهرة نمار ، الرياض ، الرياض,227 م²,"1,400,000 ريال"
9197,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
9199,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
9201,فيلا للبيع في حي ، شارع عوف بن عفراء ، حي ظهرة نمار ، الرياض ، الرياض,300 م²,"1,270,000 ريال"
9203,فيلا للبيع في شارع العصيدان ، حي طويق ، الرياض ، الرياض,250 م²,"1,200,000 ريال"
9205,فيلا للبيع في شارع حمود الرشيد ، حي طويق ، الرياض ، الرياض,480 م²,"1,550,000 ريال"
9207,فيلا للبيع في شارع شيعة السدوسي ، حي النهضة ، الرياض ، الرياض,330 م²,"1,680,000 ريال"
