,district_Name,property_size,property_price
5383,فيلا للبيع في شارع عطاء بن يعقوب المدني ، حي العارض ، الرياض ، الرياض,262 م²,"2,200,000 ريال"
5385,فيلا للبيع في شارع ، شارع عثمان بن الخصيب ، حي البديعة ، الرياض ، الرياض,315 م²,"1,300,000 ريال"
5387,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
5389,فيلا للبيع في حي الرمال ، الرياض ، الرياض,250 م²,"1,130,000 ريال"
5391,فيلا للبيع في حي الرمال، ، الرياض ، الرياض,334 م²,"1,750,000 ريال"
5393,فيلا للبيع في حي ، شارع القاضي الاشبـيلي ، حي الدار البيضاء ، الرياض ، الرياض,220 م²,"840,000 ريال"
5395,فيلا للبيع في شارع طارق بن شهاب ، حي العارض ، الرياض ، الرياض,300 م²,"2,250,000 ريال"
5397,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,400 م²,"3,600,000 ريال"
5399,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,1239 م²,"7,500,000 ريال"
5401,فيلا للبيع في شارع الامير عبدالله بن سعود بن عبدالله صنيتان ، حي الصحافة ، الرياض ، الرياض,416 م²,"3,650,000 ريال"
5403,فيلا للبيع في شارع اسماعيل الخطيبي ، حي العارض ، الرياض ، الرياض,483 م²,"3,800,000 ريال"
5405,فيلا للبيع في شارع نعمان بن مقرن المزيني ، حي العارض ، الرياض ، الرياض,270 م²,"1,860,000 ريال"
5407,فيلا للبيع في شارع محمد بن مشرف ، حي طويق ، الرياض ، الرياض,375 م²,"1,700,000 ريال"
5409,فيلا للبيع في حي الرمال ، الرياض ، الرياض,281 م²,"1,280,000 ريال"
5411,فيلا للبيع في شارع ابن عساكر ، حي الدريهمية ، الرياض ، الرياض,300 م²,"720,000 ريال"
5413,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
5415,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
5417,فيلا للبيع في شارع التطور ، حي احد ، الرياض ، الرياض,348 م²,"1,250,000 ريال"
5419,فيلا للبيع في شارع احمد بن مغيث الصدفي ، حي طويق ، الرياض ، الرياض,450 م²,"1,250,000 ريال"
5421,فيلا للبيع في حي بدر ، الرياض ، الرياض,215 م²,"870,000 ريال"
5423,فيلا للبيع في شارع فتح مكة ، حي بدر ، الرياض ، الرياض,270 م²,"990,000 ريال"
5425,فيلا للبيع في شارع عثمان بن صدقة ، حي طويق ، الرياض ، الرياض,250 م²,"1,050,000 ريال"
5427,فيلا للبيع في شارع اسامه بن خزيم ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
5429,فيلا للبيع في حي الرمال ، الرياض ، الرياض,240 م²,"1,130,000 ريال"
5431,فيلا للبيع في شارع منصور العبدلي ، حي طويق ، الرياض ، الرياض,328 م²,"1,300,000 ريال"
5433,فيلا للبيع في شارع الجلاميد ، حي العارض ، الرياض ، الرياض,440 م²,"3,300,000 ريال"
5435,فيلا للبيع في شارع المدائني ، حي الرمال ، الرياض ، الرياض,300 م²,"1,370,000 ريال"
5437,فيلا للبيع في حي النرجس ، الرياض ، الرياض,325 م²,"3,200,000 ريال"
5439,فيلا للبيع في شارع العويقليه ، حي طيبة ، الرياض ، الرياض,285 م²,"930,000 ريال"
5441,فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,360 م²,"1,120,000 ريال"
5443,فيلا للبيع في شارع بلال بن رباح ، حي طويق ، الرياض ، الرياض,400 م²,"1,800,000 ريال"
5445,فيلا للبيع في شارع يحيى الطالبي ، حي طويق ، الرياض ، الرياض,375 م²,"1,600,000 ريال"
5447,فيلا للبيع في شارع محمد بن شاكر الكتبي ، حي طويق ، الرياض ، الرياض,375 م²,"1,200,000 ريال"
5449,فيلا للبيع في شارع وادي ماوان ، حي بدر ، الرياض ، الرياض,225 م²,"850,000 ريال"
5451,فيلا للبيع في شارع البحر الميت ، حي اشبيلية ، الرياض ، الرياض,300 م²,"1,850,000 ريال"
5453,فيلا للبيع في حي ظهرة لبن ، الرياض ، الرياض,360 م²,"1,660,000 ريال"
5455,فيلا للبيع في شارع رقم 205 ، حي الملقا ، الرياض ، الرياض,360 م²,"4,300,000 ريال"
5457,فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
5459,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
5461,فيلا للبيع في حي ، شارع ابي عبدالله الدمياطي ، حي ظهرة البديعة ، الرياض ، الرياض,600 م²,"1,000,000 ريال"
5463,فيلا للبيع في شارع نهاوند ، حي العزيزية ، الرياض ، الرياض,240 م²,"850,000 ريال"
5465,فيلا للبيع في شارع اسماعيل المؤذن ، حي القدس ، الرياض ، الرياض,500 م²,"1,700,000 ريال"
5467,فيلا للبيع في حي الرمال ، الرياض ، الرياض,284 م²,"1,400,000 ريال"
5469,فيلا للبيع في شارع وادي هجر ، حي الملقا ، الرياض ، الرياض,360 م²,"4,000,000 ريال"
5471,فيلا للبيع في شارع فريد ياسين قرشي ، حي طويق ، الرياض ، الرياض,312 م²,"1,400,000 ريال"
5473,فيلا للبيع في شارع ابي رفاعة العدوي ، حي مطار الملك خالد الدولي ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
5475,فيلا للبيع في شارع عبدالعزيز الدراوردي ، حي طويق ، الرياض ، الرياض,375 م²,"1,650,000 ريال"
5477,فيلا للبيع في حي الحزم ، الرياض ، الرياض,240 م²,"1,000,000 ريال"
5479,فيلا للبيع في حي طيبة ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
5481,فيلا للبيع في شارع وادي الشعبة ، حي بدر ، الرياض ، الرياض,275 م²,"800,000 ريال"
5483,فيلا للبيع في شارع العذبه ، حي طويق ، الرياض ، الرياض,200 م²,"960,000 ريال"
5485,فيلا للبيع في شارع جبل بني جابر ، حي القادسية ، الرياض ، الرياض,324 م²,"1,500,000 ريال"
5487,فيلا للبيع في حي الحزم ، الرياض ، الرياض,270 م²,"1,050,000 ريال"
5489,فيلا للبيع في الرياض ، حي بدر ، الرياض,300 م²,"1,200,000 ريال"
5491,فيلا للبيع في شارع ابي المظفرالازجي ، حي النسيم الغربي ، الرياض ، الرياض,312 م²,"1,300,000 ريال"
5493,فيلا للبيع في شارع احمد بن هاشم ، حي اشبيلية ، الرياض ، الرياض,216 م²,"2,000,000 ريال"
5495,فيلا للبيع في حي ، شارع حسين بن حمد ، حي الرائد ، الرياض ، الرياض,325 م²,"3,500,000 ريال"
5497,فيلا للبيع في شارع تميم بن بشير ، ملهم ، حريملاء,700 م²,"1,500,000 ريال"
5499,فيلا للبيع في حي العارض ، الرياض ، الرياض,360 م²,"2,700,000 ريال"
5501,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
5503,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
5505,فيلا للبيع في شارع ابي عبدالله الصقلي ، حي عكاظ ، الرياض ، الرياض,352 م²,"920,000 ريال"
5507,فيلا للبيع في شارع ابي عبدالله الحلاوي ، حي الدار البيضاء ، الرياض ، الرياض,255 م²,"810,000 ريال"
5509,فيلا للبيع في شارع عبدالرحمن بن هرمز ، حي طويق ، الرياض ، الرياض,250 م²,"1,250,000 ريال"
5511,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,362 م²,"3,400,000 ريال"
5513,فيلا للبيع في حي الرمال، ، الرياض ، الرياض,350 م²,"1,850,000 ريال"
5515,فيلا للبيع في شارع رقم 57 ، حي ظهرة لبن ، الرياض ، الرياض,400 م²,"1,980,000 ريال"
5517,فيلا للبيع في حي عكاظ ، الرياض ، الرياض,329 م²,"1,100,000 ريال"
5519,فيلا للبيع في حي ، شارع يعقوب الصفار ، حي المهدية ، الرياض ، الرياض,450 م²,"2,400,000 ريال"
5521,فيلا للبيع في شارع شبه الجزيرة ، حي السعادة ، الرياض ، الرياض,375 م²,"1,900,000 ريال"
5523,فيلا للبيع في شارع جندب بن كعب ، حي الضباط ، الرياض ، الرياض,505 م²,"3,500,000 ريال"
5525,فيلا للبيع في شارع رقم 34 ، حي بدر ، الرياض ، الرياض,270 م²,"975,000 ريال"
5527,فيلا للبيع في شارع وادي حلب ، حي الدار البيضاء ، الرياض ، الرياض,220 م²,"850,000 ريال"
5529,فيلا للبيع في حي ، شارع ابي بكر العمري ، حي ظهرة نمار ، الرياض ، الرياض,225 م²,"1,080,000 ريال"
5531,فيلا للبيع في حي الشرق ، الرياض ، رماح,440 م²,"1,650,000 ريال"
5533,فيلا للبيع في شارع سعيد الحاجب ، حي الرمال ، الرياض ، الرياض,270 م²,"1,100,000 ريال"
5535,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,362 م²,"3,400,000 ريال"
5537,فيلا للبيع في حي الربيع ، الرياض ، الرياض,391 م²,"4,200,000 ريال"
5539,فيلا للبيع في شارع النوارس ، حي عكاظ ، الرياض ، الرياض,260 م²,"960,000 ريال"
5541,فيلا للبيع في شارع محمد بن القزاز ، حي الجنادرية ، الرياض ، الرياض,294 م²,"1,350,000 ريال"
5543,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,375 م²,"2,500,000 ريال"
5545,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
5547,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
5549,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,288 م²,"1,555,000 ريال"
5551,فيلا للبيع في شارع الدوحه ، حي طويق ، الرياض ، الرياض,300 م²,"1,260,000 ريال"
5553,فيلا للبيع في شارع عبدالرحمن الداخل ، حي طويق ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
5555,فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,240 م²,"970,000 ريال"
5557,فيلا للبيع في شارع القاده ، حي الحزم ، الرياض ، الرياض,312 م²,"1,400,000 ريال"
5559,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,360 م²,"1,025,000 ريال"
5561,فيلا للبيع في شارع محمد شاذلي ، حي طويق ، الرياض ، الرياض,480 م²,"1,400,000 ريال"
5563,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,200,000 ريال"
5565,فيلا للبيع في حي بدر ، الرياض ، الرياض,315 م²,"960,000 ريال"
5567,فيلا للبيع في شارع منصور الحميلي ، حي طويق ، الرياض ، الرياض,450 م²,"1,550,000 ريال"
5569,فيلا للبيع في شارع ابن ابي الجيش ، حي الضباط ، الرياض ، الرياض,810 م²,"4,000,000 ريال"
5571,فيلا للبيع في حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
5573,فيلا للبيع في حي الرمال ، الرياض ، الرياض,375 م²,"19,970,000 ريال"
5575,فيلا للبيع في حي النرجس ، الرياض ، الرياض,312 م²,"3,150,000 ريال"
5577,فيلا للبيع في حي الرمال ، الرياض ، الرياض,270 م²,"1,500,000 ريال"
5579,فيلا للبيع في حي ، شارع هند بنت عتبة ، حي النسيم الغربي ، الرياض ، الرياض,570 م²,"1,300,000 ريال"
5581,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,350,000 ريال"
5583,فيلا للبيع في شارع عبدالرحمن ديار بكري ، حي ديراب ، الرياض ، الرياض,225 م²,"930,000 ريال"
5585,فيلا للبيع في شارع بلال بن رباح ، حي طويق ، الرياض ، الرياض,400 م²,"700,000 ريال"
5587,فيلا للبيع في شارع الشماسية ، حي الربيع ، الرياض ، الرياض,365 م²,"2,500,000 ريال"
5589,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
5591,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
5593,فيلا للبيع في شارع منصور الكازروني ، حي طويق ، الرياض ، الرياض,250 م²,"1,100,000 ريال"
5595,فيلا للبيع في شارع الخيالة ، حي العزيزية ، الرياض ، الرياض,200 م²,"820,000 ريال"
5597,فيلا للبيع في طريق الثمامة ، حي الرمال ، الرياض ، الرياض,300 م²,"1,500,000 ريال"
5599,فيلا للبيع في شارع البساتين ، حي الرمال ، الرياض ، الرياض,225 م²,"1,180,000 ريال"
5601,فيلا للبيع في شارع الجراني ، حي اشبيلية ، الرياض ، الرياض,300 م²,"1,920,000 ريال"
5603,فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,340,000 ريال"
5605,فيلا للبيع في شارع حسان الاسلمي ، حي ظهرة البديعة ، الرياض ، الرياض,375 م²,"1,500,000 ريال"
5607,فيلا للبيع في شارع شهاب بن ابي بكر ، حي طيبة ، الرياض ، الرياض,286 م²,"860,000 ريال"
5609,فيلا للبيع في حي ، شارع عامر القرشي ، حي ظهرة نمار ، الرياض ، الرياض,316 م²,"1,450,000 ريال"
5611,فيلا للبيع في حي بدر ، الرياض ، الرياض,420 م²,"1,250,000 ريال"
5613,فيلا للبيع في شارع ابي سلمة ، حي الشفا ، الرياض ، الرياض,405 م²,"1,200,000 ريال"
5615,فيلا للبيع في حي الرمال ، الرياض ، الرياض,354 م²,"1,500,000 ريال"
5617,فيلا للبيع في حي بدر ، الرياض ، الرياض,315 م²,"960,000 ريال"
5619,فيلا للبيع في شارع ابن فتوح الحميدي ، حي الرمال ، الرياض ، الرياض,375 م²,"1,900,000 ريال"
5621,فيلا للبيع في حي الرمال ، الرياض ، الرياض,414 م²,"1,650,000 ريال"
5623,فيلا للبيع في حي ، شارع ريحانه بنت زيد ، حي العارض ، الرياض ، الرياض,442 م²,"2,500,000 ريال"
5625,فيلا للبيع في حي المونسية ، الرياض ، الرياض,288 م²,"1,700,000 ريال"
5627,فيلا للبيع في شارع ابي الكرم العكبري ، حي المونسية ، الرياض ، الرياض,277 م²,"1,950,000 ريال"
5629,فيلا للبيع في شارع القاضي ابو يعلي ، حي طويق ، الرياض ، الرياض,360 م²,"1,550,000 ريال"
5631,فيلا للبيع في شارع الضهاجي ، حي النهضة ، الرياض ، الرياض,510 م²,"2,500,000 ريال"
5633,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
5635,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
5637,فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,360 م²,"1,300,000 ريال"
5639,فيلا للبيع في الرياض ، حي بدر ، الرياض,239 م²,"950,000 ريال"
5641,فيلا للبيع في شارع علي الطنطاوي ، حي ظهرة نمار ، الرياض ، الرياض,225 م²,"1,400,000 ريال"
5643,فيلا للبيع في شارع عبدالله بن أبي حبيب ، حي طويق ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
5645,فيلا للبيع في شارع القصيم ، حي طويق ، الرياض ، الرياض,330 م²,"1,200,000 ريال"
5647,فيلا للبيع في شارع عامر بن مخلد النجاري ، حي الرمال ، الرياض ، الرياض,500 م²,"2,400,000 ريال"
5649,فيلا للبيع في شارع رقم 128 ، حي الجنادرية ، الرياض ، الرياض,294 م²,"1,370,000 ريال"
5651,فيلا للبيع في شارع عسير ، حي ظهرة لبن ، الرياض ، الرياض,415 م²,"1,800,000 ريال"
5653,فيلا للبيع في شارع مخرج 9 ، حي الازدهار ، الرياض ، الرياض,1300 م²,"5,000,000 ريال"
5655,فيلا للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي الرمال ، الرياض ، الرياض,359 م²,"1,650,000 ريال"
5657,فيلا للبيع في شارع عماره بن اوس بن ثعلبه الانصاري ، حي الرمال ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
5659,فيلا للبيع في شارع الحسن بن وهب ، حي طويق ، الرياض ، الرياض,250 م²,"1,150,000 ريال"
5661,فيلا للبيع في شارع عوف بن عفراء ، حي طويق ، الرياض ، الرياض,312 م²,"1,550,000 ريال"
5663,فيلا للبيع في شارع وادي شعيت ، حي بدر ، الرياض ، الرياض,285 م²,"980,000 ريال"
5665,فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
5667,فيلا للبيع في شارع نجم الدين الأيوبي ، حي طويق ، الرياض ، الرياض,450 م²,"1,200,000 ريال"
5669,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
5671,فيلا للبيع في شارع سدير ، حي السويدي ، الرياض ، الرياض,500 م²,"750,000 ريال"
5673,فيلا للبيع في حي ، شارع ابراهيم العبدلي ، حي الملك فيصل ، الرياض ، الرياض,600 م²,"2,800,000 ريال"
5675,فيلا للبيع في شارع بحر العرب ، حي اشبيلية ، الرياض ، الرياض,281 م²,"2,100,000 ريال"
5677,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
5679,فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
5681,فيلا للبيع في شارع الشيخ عبدالله المخضوب ، حي الفلاح ، الرياض ، الرياض,800 م²,"6,000,000 ريال"
5683,فيلا للبيع في شارع عبدالرحمن بن ابي حاتم ، حي الرمال ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
5685,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,300 م²,"1,320,000 ريال"
5687,فيلا للبيع في شارع سعيد النابلسي ، حي طيبة ، الرياض ، الرياض,286 م²,"870,000 ريال"
5689,فيلا للبيع في شارع القلاع ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
5691,فيلا للبيع في حي المونسية ، الرياض ، الرياض,288 م²,"1,800,000 ريال"
5693,فيلا للبيع في شارع الدائري الثاني ، حي طويق ، الرياض ، الرياض,316 م²,"1,150,000 ريال"
5695,فيلا للبيع في شارع خديجة بنت حسان ، حي الرمال ، الرياض ، الرياض,350 م²,"1,800,000 ريال"
5697,فيلا للبيع في شارع اللوزة ، حي الاندلس ، الرياض ، الرياض,725 م²,"2,100,000 ريال"
5699,فيلا للبيع في حي ، شارع يعقوب الصفار ، حي المهدية ، الرياض ، الرياض,200 م²,"1,250,000 ريال"
5701,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,250 م²,"1,550,000 ريال"
5703,فيلا للبيع في شارع الامام الحافظ العسقلاني ، حي ظهرة نمار ، الرياض ، الرياض,450 م²,"1,900,000 ريال"
5705,فيلا للبيع في شارع ابي المكارم بن مفرج ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
5707,فيلا للبيع في شارع اوس الثقفي ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
5709,فيلا للبيع في شارع الحرابي ، حي النفل ، الرياض ، الرياض,625 م²,"3,000,000 ريال"
5711,فيلا للبيع في شارع يحيى العصامي ، حي طويق ، الرياض ، الرياض,300 م²,"1,160,000 ريال"
5713,فيلا للبيع في حي النرجس ، الرياض ، الرياض,300 م²,"2,700,000 ريال"
5715,فيلا للبيع في حي بدر ، الرياض ، الرياض,312 م²,"1,100,000 ريال"
5717,فيلا للبيع في حي الرمال ، الرياض ، الرياض,288 م²,"1,420,000 ريال"
5719,فيلا للبيع في شارع المغيره بن نوفل ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
5721,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
5723,فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
5725,فيلا للبيع في شارع القضيف ، حي طويق ، الرياض ، الرياض,200 م²,"980,000 ريال"
5727,فيلا للبيع في حي طيبة ، الرياض ، الرياض,226 م²,"900,000 ريال"
5729,فيلا للبيع في شارع ابي رفاعة العدوي ، حي مطار الملك خالد الدولي ، الرياض ، الرياض,312 م²,"1,250,000 ريال"
5731,فيلا للبيع في شارع اربيل ، حي الزهرة ، الرياض ، الرياض,400 م²,"650,000 ريال"
5733,فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,325 م²,"1,350,000 ريال"
5735,فيلا للبيع في شارع الخطامة ، حي العريجاء الوسطى ، الرياض ، الرياض,200 م²,"935,000 ريال"
5737,فيلا للبيع في طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,248 م²,"1,000,000 ريال"
5739,فيلا للبيع في حي ، شارع اسماعيل الجيلي ، حي الرائد ، الرياض ، الرياض,298 م²,"2,200,000 ريال"
5741,فيلا للبيع في شارع المجد ، حي الملقا ، الرياض ، الرياض,455 م²,"4,200,000 ريال"
5743,فيلا للبيع في شارع صامطة ، حي ظهرة لبن ، الرياض ، الرياض,252 م²,"1,500,000 ريال"
5745,فيلا للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي الرمال ، الرياض ، الرياض,414 م²,"1,700,000 ريال"
5747,فيلا للبيع في شارع وادي هجر ، حي بدر ، الرياض ، الرياض,312 م²,"1,130,000 ريال"
5749,فيلا للبيع في حي الرمال ، الرياض ، الرياض,405 م²,"1,850,000 ريال"
5751,فيلا للبيع في شارع المغيره بن نوفل ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
5753,فيلا للبيع في حي ، شارع أحمد بن هاشم ، حي المهدية ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
5755,فيلا للبيع في حي بدر ، الرياض ، الرياض,275 م²,"900,000 ريال"
5757,فيلا للبيع في حي بدر ، الرياض ، الرياض,274 م²,"1,050,000 ريال"
5759,فيلا للبيع في شارع الصافه ، حي طويق ، الرياض ، الرياض,240 م²,"1,050,000 ريال"
5761,فيلا للبيع في طريق الجنادرية ، حي الرمال ، الرياض ، الرياض,250 م²,"1,200,000 ريال"
5763,فيلا للبيع في شارع عامر بن مخلد النجاري ، حي الرمال ، الرياض ، الرياض,246 م²,"1,350,000 ريال"
5765,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
5767,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
5769,فيلا للبيع في حي ، شارع عبدالعزيز الرفاعي ، حي العارض ، الرياض ، الرياض,351 م²,"2,750,000 ريال"
5771,فيلا للبيع في شارع خديجة بنت خويلد ، حي طويق ، الرياض ، الرياض,450 م²,"920,000 ريال"
5773,فيلا للبيع في الدرعية,500 م²,"2,100,000 ريال"
5775,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,300 م²,"1,800,000 ريال"
5777,فيلا للبيع في حي ، شارع بصيرة ، حي الصحافة ، الرياض ، الرياض,240 م²,"2,300,000 ريال"
5779,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,270,000 ريال"
5781,فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,360 م²,"1,050,000 ريال"
5783,فيلا للبيع في حي ، شارع عبدالرحمن بن خميس ، حي العارض ، الرياض ، الرياض,338 م²,"2,450,000 ريال"
5785,فيلا للبيع في حي ، شارع الأبطال ، حي الصحافة ، الرياض ، الرياض,416 م²,"3,900,000 ريال"
5787,فيلا للبيع في شارع الختلان ، حي العارض ، الرياض ، الرياض,216 م²,"2,100,000 ريال"
5789,فيلا للبيع في طريق الإمام عبدالله بن سعود بن عبدالعزيز ، حي القادسية ، الرياض ، الرياض,292 م²,"1,550,000 ريال"
5791,فيلا للبيع في حي المونسية ، الرياض ، الرياض,250 م²,"1,250,000 ريال"
5793,فيلا للبيع في طريق الثمامة ، حي الرمال ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
5795,فيلا للبيع في شارع يحيى المعلمي ، حي الرمال ، الرياض ، الرياض,275 م²,"1,600,000 ريال"
5797,فيلا للبيع في شارع الشيخ ماجد الكردي ، حي الرمال ، الرياض ، الرياض,290 م²,"1,250,000 ريال"
5799,فيلا للبيع في حي ديراب ، الرياض ، الرياض,250 م²,"980,000 ريال"
5801,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,330 م²,"2,950,000 ريال"
5803,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,288 م²,"1,550,000 ريال"
5805,فيلا للبيع في حي اليرموك ، الرياض ، الرياض,375 م²,"2,350,000 ريال"
5807,فيلا للبيع في شارع الخزامه ، حي بدر ، الرياض ، الرياض,300 م²,"640,000 ريال"
5809,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
5811,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
5813,فيلا للبيع في شارع عوف بن عفراء ، حي طويق ، الرياض ، الرياض,475 م²,"2,000,000 ريال"
5815,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,390 م²,"2,800,000 ريال"
5817,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
5819,فيلا للبيع في شارع السرور ، حي طويق ، الرياض ، الرياض,360 م²,"1,300,000 ريال"
5821,فيلا للبيع في حي العارض ، الرياض ، الرياض,440 م²,"3,500,000 ريال"
5823,فيلا للبيع في شارع ابراهيم بن عبدالسلام ، حي طويق ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
5825,فيلا للبيع في حي ، طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,360 م²,"700,000 ريال"
5827,فيلا للبيع في شارع عائشة بنت أبي بكر ، حي السويدي ، الرياض ، الرياض,260 م²,"900,000 ريال"
5829,فيلا للبيع في طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,300 م²,"1,050,000 ريال"
5831,فيلا للبيع في شارع العوينات ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
5833,فيلا للبيع في شارع الحميداني ، حي القيروان ، الرياض ، الرياض,365 م²,"3,200,000 ريال"
5835,فيلا للبيع في شارع حسن القرشي الاموي ، حي طويق ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
5837,فيلا للبيع في شارع بلال بن رباح ، حي طويق ، الرياض ، الرياض,200 م²,"920,000 ريال"
5839,فيلا للبيع في شارع السيول ، حي اشبيلية ، الرياض ، الرياض,420 م²,"3,500,000 ريال"
5841,فيلا للبيع في شارع وادي التسرير ، حي بدر ، الرياض ، الرياض,250 م²,"980,000 ريال"
5843,فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,375 م²,"1,600,000 ريال"
5845,فيلا للبيع في شارع ابن شاكر ، حي طيبة ، الرياض ، الرياض,234 م²,"830,000 ريال"
5847,فيلا للبيع في الرياض ، حي طويق ، الرياض,200 م²,"920,000 ريال"
5849,فيلا للبيع في حي المونسية ، الرياض ، الرياض,750 م²,"2,500,000 ريال"
5851,فيلا للبيع في شارع الحفار ، حي الحزم ، الرياض ، الرياض,281 م²,"1,140,000 ريال"
5853,فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
5855,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
